ATTm591260: msPKI-Cert-Template-OID
ATTm591498: msPKI-Certificate-Application-Policy
ATTj591256: msPKI-Certificate-Name-Flag
ATTm591263: msPKI-Certificate-Policy
ATTh591874: msPKI-CredentialRoamingTokens
ATTj591254: msPKI-Enrollment-Flag
ATTm591900: msPKI-Enrollment-Servers
ATTj591257: msPKI-Minimal-Key-Size
ATTj591495: msPKI-OID-Attribute
ATTm591496: msPKI-OID-CPS
ATTm591536: msPKI-OIDLocalizedName
ATTm591497: msPKI-OID-User-Notice
ATTj591255: msPKI-Private-Key-Flag
ATTm591901: msPKI-Site-Name
ATTm591261: msPKI-Supersede-Templates
ATTj591259: msPKI-Template-Minor-Revision
ATTj591258: msPKI-Template-Schema-Version
ATTm591499: msPKI-RA-Application-Policies
ATTm591262: msPKI-RA-Policies
ATTj591253: msPKI-RA-Signature
ATTk591716: msPKIRoamingTimeStamp
ATTh591717: msPKIDPAPIMasterKeys
ATTh591718: msPKIAccountCredentials
ATTm590708: msRRASAttribute
ATTm590707: msRRASVendorAttributeEntry
ATTf591737: msRADIUS-FramedInterfaceId
ATTf591738: msRADIUS-SavedFramedInterfaceId
ATTf591739: msRADIUS-FramedIpv6Prefix
ATTf591740: msRADIUS-SavedFramedIpv6Prefix
ATTf591741: msRADIUS-FramedIpv6Route
ATTf591742: msRADIUS-SavedFramedIpv6Route
ATTm591187: mS-SQL-Name
ATTm591188: mS-SQL-RegisteredOwner
ATTm591189: mS-SQL-Contact
ATTm591190: mS-SQL-Location
ATTq591191: mS-SQL-Memory
ATTj591192: mS-SQL-Build
ATTm591193: mS-SQL-ServiceAccount
ATTj591194: mS-SQL-CharacterSet
ATTm591195: mS-SQL-SortOrder
ATTj591196: mS-SQL-UnicodeSortOrder
ATTi591197: mS-SQL-Clustered
ATTm591198: mS-SQL-NamedPipe
ATTm591199: mS-SQL-MultiProtocol
ATTm591200: mS-SQL-SPX
ATTm591201: mS-SQL-TCPIP
ATTm591202: mS-SQL-AppleTalk
ATTm591203: mS-SQL-Vines
ATTq591204: mS-SQL-Status
ATTm591205: mS-SQL-LastUpdatedDate
ATTm591206: mS-SQL-InformationURL
ATTm591207: mS-SQL-ConnectionURL
ATTm591208: mS-SQL-PublicationURL
ATTm591209: mS-SQL-GPSLatitude
ATTm591210: mS-SQL-GPSLongitude
ATTm591211: mS-SQL-GPSHeight
ATTm591212: mS-SQL-Version
ATTm591213: mS-SQL-Language
ATTm591214: mS-SQL-Description
ATTm591215: mS-SQL-Type
ATTi591216: mS-SQL-InformationDirectory
ATTm591217: mS-SQL-Database
ATTi591218: mS-SQL-AllowAnonymousSubscription
ATTm591219: mS-SQL-Alias
ATTq591220: mS-SQL-Size
ATTm591221: mS-SQL-CreationDate
ATTm591222: mS-SQL-LastBackupDate
ATTm591223: mS-SQL-LastDiagnosticDate
ATTm591224: mS-SQL-Applications
ATTm591225: mS-SQL-Keywords
ATTm591226: mS-SQL-Publisher
ATTi591227: mS-SQL-AllowKnownPullSubscription
ATTi591228: mS-SQL-AllowImmediateUpdatingSubscription
ATTi591229: mS-SQL-AllowQueuedUpdatingSubscription
ATTi591230: mS-SQL-AllowSnapshotFilesFTPDownloading
ATTi591231: mS-SQL-ThirdParty
ATTk591524: msTAPI-ConferenceBlob
ATTm591525: msTAPI-IpAddress
ATTm591523: msTAPI-ProtocolId
ATTm591522: msTAPI-uid
ATTm591447: msWMI-Author
ATTm591448: msWMI-ChangeDate
ATTm591500: msWMI-Class
ATTm591449: msWMI-ClassDefinition
ATTm591450: msWMI-CreationDate
ATTj591501: msWMI-Genus
ATTm591451: msWMI-ID
ATTj591452: msWMI-IntDefault
ATTj591502: msWMI-intFlags1
ATTj591503: msWMI-intFlags2
ATTj591504: msWMI-intFlags3
ATTj591505: msWMI-intFlags4
ATTj591453: msWMI-IntMax
ATTj591454: msWMI-IntMin
ATTj591455: msWMI-IntValidValues
ATTq591456: msWMI-Int8Default
ATTq591457: msWMI-Int8Max
ATTq591458: msWMI-Int8Min
ATTq591459: msWMI-Int8ValidValues
ATTm591462: msWMI-Mof
ATTm591463: msWMI-Name
ATTm591464: msWMI-NormalizedClass
ATTm591506: msWMI-Parm1
ATTm591507: msWMI-Parm2
ATTm591508: msWMI-Parm3
ATTm591509: msWMI-Parm4
ATTm591465: msWMI-PropertyName
ATTm591466: msWMI-Query
ATTm591467: msWMI-QueryLanguage
ATTm591510: msWMI-ScopeGuid
ATTm591468: msWMI-SourceOrganization
ATTm591460: msWMI-StringDefault
ATTm591461: msWMI-StringValidValues
ATTm591469: msWMI-TargetClass
ATTm591470: msWMI-TargetNameSpace
ATTk591471: msWMI-TargetObject
ATTm591472: msWMI-TargetPath
ATTm591473: msWMI-TargetType
ATTf590540: mscopeId
ATTm590495: msiFileList
